記錄號碼,更新人,建立人,更新時間,建立時間,客戶/供應商代號,客戶/供應商名稱,客戶/供應商類型,統一編號,客戶類別,負責業務 (擇一即可),收貨地址(可刪除),供應商類別,國別/城市別,產業類別 (類型為客戶時才顯示),客戶/供應商集團,發票地址,付款條件,付款方式,結帳日,特殊要求,幣別,運輸條件,公司網站,公司電話,公司傳真,發票郵遞區號,收貨郵遞區號(可刪除),負責業務(NAME)(擇一即可),業績歸屬,供應商簡碼,員工編號,員工姓名,清洗後地址,Latitude,Longitude
4062,Paul,Paul,2026/03/02 14:01,2026/03/02 14:01,EIT-539,台灣艾納康有限公司,Customer,43377103,Local Customer,Darren,台北市信義區信義路５段2號15樓,,TW-N1 Taipei,Energy Storage,台灣艾納康有限公司,台北市信義區信義路５段2號15樓,Prepaid,Remittance,,,TWD,,,+886(0)2-8726-3729,+886(0)928-547-466,11059,11059,Darren Chang,Darren,,T023,張宏銘,台北市信義區信義路５段2號,25.035068,121.57541
4072,Paul,Paul,2026/05/08 12:42,2026/05/08 12:40,EIT-0545,碩霖電機有限公司,Customer,96752149,Local Customer,,台灣省新北市三峽區三樹路222巷254弄64號之23,,TW-N2 New Taipei,Power Supply,碩霖電機有限公司,台灣省新北市三峽區三樹路222巷254弄64號之23,EOM 30,Remittance,,,TWD,,,02-86866090,02-86866055,23703,23703,Jack Su,Jack,,T049,蘇峻毅,台灣省新北市三峽區三樹路222巷254弄64號之23,24.944152,121.393102
4071,Paul,Paul,2026/05/05 11:24,2026/05/05 11:24,EIT-0544,潤鴻科技有限公司,Customer,53630941,Local Customer,Darren,台中市西屯區工業區四十路25號,,TW-M2 Taichung,Electronic Load,潤鴻科技有限公司,台中市西屯區工業區四十路25號,Prepaid,Remittance,25.0,,TWD,,,+886 4 2359 1895,+886 4 2359 5352,,,Darren Chang,Jack,,T023,張宏銘,台中市西屯區工業區四十路25號,24.173472,120.586824
4069,Paul,Paul,2026/03/18 09:38,2026/03/18 09:38,EIT-0543,行競科技股份有限公司,Customer,24968515,Local Customer,,台灣省桃園市龜山區華亞一路48號,,TW Taiwan,Power Supply,行競科技股份有限公司,台灣省桃園市龜山區華亞一路48號,Prepaid,Remittance,,,TWD,,,+886 3 2706553,+886 3 3187113,33383,33383,Jack Su,Jack,,T049,蘇峻毅,台灣省桃園市龜山區華亞一路48號,25.041781,121.372242
4064,Paul,Paul,2026/03/02 15:23,2026/03/02 14:18,EIT-0541,Panasonic Life Solution India Pvt. Ltd,Customer,,Int'l Customer,Darren,"Panasonic India Factory, GP9R+C9V, Village, Model Economic Township (MET), Bir, Dadri Toye, Aurangpur, Haryana 124103, India",,IN India,Energy Storage,Panasonic Life Solution India Pvt. Ltd,"Panasonic India Factory, GP9R+C9V, Village, Model Economic Township (MET), Bir, Dadri Toye, Aurangpur, Haryana 124103, India",Prepaid,Remittance,,,USD,,,+91-124-4871300,+91-124-4871333,,,Darren Chang,Darren,,T023,張宏銘,"Panasonic India Factory, GP9R+C9V, Village, Model Economic Township (MET), Bir, Dadri Toye, Aurangpur, Haryana 124103, India",,
4063,Paul,Paul,2026/03/02 14:05,2026/03/02 14:05,EIT-0540,艾易科技股份有限公司,Customer,80071934,Local Customer,Darren,新北市新莊區新北大道4段3號13樓,,TW-N2 New Taipei,Power Semiconductor,艾易科技股份有限公司,新北市新莊區新北大道4段3號13樓,Prepaid,Remittance,,,TWD,,,02-8919-1230,02-8522-8623,24250,24250,Darren Chang,Darren,,T023,張宏銘,新北市新莊區新北大道4段3號,25.060369,121.451069
4061,Paul,Paul,2026/02/26 13:51,2026/02/26 13:51,EIT-0538,順達科技股份有限公司,Customer,16596982 ,Local Customer,Darren,桃園市龜山區文禾路188號13樓,,TW-N4 Taoyuan,Energy Storage,順達科技股份有限公司,桃園市龜山區文禾路188號13樓,Prepaid,Remittance,,,TWD,,,03-396-3399,,33371,33371,Darren Chang,Darren,,T023,張宏銘,桃園市龜山區文禾路188號,25.051269,121.388255
4060,Paul,Paul,2026/02/26 13:48,2026/02/26 13:48,EIT-0537,明創能源股份有限公司,Customer,69670383,Local Customer,Darren,桃園市中壢區高鐵站前西路一段268號2樓之3,,TW-N4 Taoyuan,Energy Storage,明創能源股份有限公司,桃園市中壢區高鐵站前西路一段268號2樓之3,Prepaid,Remittance,,,TWD,,,03-5898-188,03-5899-766,32056,32056,Darren Chang,Darren,,T023,張宏銘,桃園市中壢區高鐵站前西路一段268號之3,25.009046,121.217271
4059,Paul,Paul,2026/02/26 13:47,2026/02/26 13:47,EIT-0536,馳諾瓦科技股份有限公司,Customer,90637397,Local Customer,Darren,台南市永康區正南一街99號,,TW-S2 Tainan,Energy Storage,馳諾瓦科技股份有限公司,台南市永康區正南一街99號,Prepaid,Remittance,,,TWD,,,06-2547588,,71046,71046,Darren Chang,Darren,,T023,張宏銘,台南市永康區正南一街99號,23.024769,120.229039
4058,Paul,Paul,2026/02/26 13:45,2026/02/26 13:45,EIT-0535,電統能源工業股份有限公司,Customer,94105196,Local Customer,Darren,台北市內湖區堤頂大道１段1號3樓之1,,TW-N1 Taipei,Energy Storage,電統能源工業股份有限公司,台北市內湖區堤頂大道１段1號3樓之1,Prepaid,Remittance,,,TWD,,,(02)2794-8899,,11494,11494,Darren Chang,Darren,,T023,張宏銘,台北市內湖區堤頂大道１段1號之1,25.056375,121.574341
